comment_id,comment,author,like_count,time_text,reply,clean_comment,like_count_numeric,word_count,character_count,comment_type,sentiment
Ugy1UF-xl8nO0c6-K_R4AaABAg,Mother earth can live with or without the human beings.,@nikakiskainourgios2227,2.7K,2 bulan lalu (diedit),False,Mother earth can live with or without the human beings.,2700,10,55,Top-level,Positive
UgxoF6T9rsEzxfgIyX14AaABAg,El Niño growing to El Hombre,@v8van,1.8K,2 bulan lalu,False,El Niño growing to El Hombre,1800,6,28,Top-level,Neutral
Ugxgdko85P_MhG4gMSZ4AaABAg,why the video looks like a 90s news tv?,@theshuriken,566,2 bulan lalu,False,why the video looks like a 90s news tv?,566,9,39,Top-level,Neutral
Ugz3jagskTxouJyuo_F4AaABAg,Everybody ought to start panicking because it always helps,@lahayestudiofrqc8708,22,2 bulan lalu,False,Everybody ought to start panicking because it always helps,22,9,58,Top-level,Neutral
Ugw7t7XBAr39u7rTn354AaABAg,"Everyone’s busy arguing, meanwhile a massive El Niño is lining up… priorities are wild.",@enfriendumachan,59,2 bulan lalu,False,"Everyone’s busy arguing, meanwhile a massive El Niño is lining up… priorities are wild.",59,14,87,Top-level,Positive
UgxkfrgxlqfE8LCPpa94AaABAg,The world when it's my turn to be an adult:,@TheStickyDynamite,389,2 bulan lalu,False,The world when it's my turn to be an adult:,389,10,43,Top-level,Positive
UgzNjNBC_iKKErXa_fd4AaABAg,I think the affect on chocolate prices is the least of anyone's concerns.,@chemtrailtruth,540,2 bulan lalu,False,I think the affect on chocolate prices is the least of anyone's concerns.,540,13,73,Top-level,Negative
UgzWRKwmlvSLyKa7lDp4AaABAg,"AI data centers produces too much heat, uses a tonne of water.",@toryfnaz,992,2 bulan lalu,False,"AI data centers produces too much heat, uses a tonne of water.",992,12,62,Top-level,Positive
UgzCkXSw9I0_QYCKfvF4AaABAg,Temperature is low but humidity is crazy where i live,@NeNeisL,8,2 bulan lalu,False,Temperature is low but humidity is crazy where i live,8,10,53,Top-level,Negative
UgygorU_zCpQAmypxfZ4AaABAg,The smooth editing and pacing kept everything engaging throughout this entertaining uploaded project online.,@ChurchmanKopczyk,0,2 bulan lalu,False,The smooth editing and pacing kept everything engaging throughout this entertaining uploaded project online.,0,14,108,Top-level,Positive
UgwozM-LE3OoLsQltw54AaABAg,Some people still don’t believe in human caused climate change….but your home insurance company does.,@bjam66,930,2 bulan lalu,False,Some people still don’t believe in human caused climate change….but your home insurance company does.,930,15,101,Top-level,Neutral
